名称,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,24时,25时,26时,27时,28时,29时,质量差计数,缺失数据计数
学10栋10201室电表,0.14,0.07,0.07,0.09,0.09,0.1,0.1,0.32,0.17,0.11,0.21,0.51,0.22,0.19,0.12,0.12,0.42,0.43,0.39,0.41,0.36,0.56,0.52,0.27,0.27,0.15,0,0.14,0.05,0.11,0,0
学10栋10205室电表,0.19,0.01,0.02,0.02,0.02,0.04,0.02,0.25,0.06,0.06,0.06,0.06,0.14,0.08,0.03,0.04,0.34,0.59,0.64,0.45,0.39,0.4,0.68,0.52,0.14,0.09,0,0.09,0.09,0.07,0,0
学10栋10206室电表,0.05,0.03,0.01,0,0.03,0.01,0.04,0.32,0.05,0.02,0.11,0,0.69,0.34,0.32,0,0.6,0.29,0.38,0,0.41,0.18,0.32,0.4,0.26,0.14,0,0.09,0.09,0.09,0,0
学10栋10207室电表,0.25,0.03,0.03,0.03,0.02,0.03,0.05,0.09,0.05,0.03,0.47,0.55,0.34,0.17,0.13,0.18,0.26,0.29,0.81,0.64,0.55,0.69,0.74,0.73,0.29,0.04,0,0.02,0.03,0.03,0,0
学10栋10208室电表,0.39,0.13,0.02,0.01,0.03,0.02,0.03,0.05,0.06,0.06,0.03,0.02,0.17,0.11,0.02,0.02,0.04,0.24,0.43,0.29,0.42,0.39,0.4,0.37,0.38,0.02,0,0.02,0.01,0.02,0,0
学10栋10212室电表,0.19,0.13,0.09,0.08,0.09,0.08,0.09,0.09,0.17,0.12,0.08,0.08,0.09,0.14,0.2,0.09,0.09,0.44,0.3,0.38,0.08,0.1,0.21,0.22,0.24,0.11,0.08,0.09,0.08,0.08,0,0
学10栋10217室电表,0.48,0.14,0.12,0.09,0.08,0.08,0.09,0.24,0.25,0.17,0.13,0.14,0.16,0.44,0.34,0.18,0.19,0.54,0.69,0.55,0.37,0.36,0.46,0.55,0.55,0.28,0.18,0.16,0.15,0.15,0,0
学10栋10220室电表,0.37,0.09,0.01,0.02,0.01,0.01,0.01,0.02,0.06,0.37,0.26,0.03,0.01,0.23,0.48,0.01,0.01,0.01,0.13,0.42,0.45,0.43,0.33,0.68,0.73,0.55,0.35,0.01,0.04,0.01,0,0
学10栋10221室电表,0.4,0.46,0.37,0.35,0.31,0.28,0.28,0.28,0.04,0,0,0.04,0.02,0.22,0.18,0.55,0.48,0.48,0.54,0.47,0.48,0.44,0.44,0.49,0.52,0.36,0.33,0.32,0.31,0.32,0,0
学10栋10223室电表,0.05,0.44,0.8,0.77,0.68,0.01,0.01,0.01,0.23,0.04,0.01,0.03,0.06,0.12,0.07,0.08,0.11,0.13,0.3,0.27,0.17,0.18,0.39,0.28,0.34,0.2,0.02,0.02,0.02,0.03,0,0
学10栋10225室电表,0.36,0.25,0.14,0.11,0.1,0.09,0.09,0.13,0.37,0.1,0.09,0.11,0.09,0.35,0.36,0.36,0.33,0.38,0.36,0.41,0.42,0.42,0.51,0.58,0.39,0.27,0.13,0.12,0.09,0.1,0,0
学10栋10227室电表,0.34,0.39,0.26,0.13,0.03,0.03,0.01,0.05,0.07,0.04,0.02,0.02,0.17,0.14,0.02,0.02,0.01,0.01,0.04,0.21,0.15,0.11,0.3,0.3,0.2,0.06,0.06,0.24,0.37,0.26,0,0
学10栋10230室电表,0.38,0.35,0.03,0.01,0.02,0.01,0.02,0.01,0.25,0.02,0.01,0.02,0,0.14,0.14,0.08,0.08,0.08,0.1,0.45,0.32,0.42,0.55,0.47,0.13,0.07,0.03,0.05,0.03,0.02,0,0
学10栋10231室电表,0.4,0.3,0.04,0.01,0.02,0.01,0.01,0.05,0.13,0.25,0.2,0.14,0.09,0.73,0.49,0.15,0.15,0.24,0.29,1.01,0.88,1.04,0.96,0.96,0.42,0.2,0.02,0.02,0.01,0.01,0,0
学10栋10233室电表,0.18,0.19,0.23,0.16,0.14,0.1,0.1,0.13,0.25,0.09,0.08,0.08,0.08,0.17,0.16,0.08,0.09,0.26,0.27,0.32,0.17,0.24,0.32,0.33,0.21,0.25,0.2,0.04,0.02,0.03,0,0
学10栋10303室电表,0.27,0.02,0.01,0.01,0.01,0,0.05,0.24,0.02,0.01,0,0.02,0.12,0.19,0.25,0.19,0.14,0.19,0.27,0.18,0.29,0.41,0.41,0.38,0.46,0.15,0,0.03,0.02,0.01,0,0
学10栋10306室电表,0.45,0.05,0.02,0.02,0.02,0.01,0.03,0.11,0.03,0.02,0.02,0.03,0.1,0.08,0.02,0.02,0.05,0.08,0.64,0.29,0.92,0.25,0.21,0.22,0.22,0.18,0,0.02,0.03,0.02,0,0
学10栋10309室电表,0.07,0.04,0.03,0.01,0.01,0.01,0.03,0.04,0.01,0,0.01,0.01,0.24,0.45,0.46,0.34,0.46,0.51,0.26,0.04,0.48,0.57,0.55,0.42,0.12,0.01,0,0.01,0,0.01,0,0
学10栋10310室电表,0.37,0.17,0.03,0.03,0.02,0.02,0.03,0.07,0.12,0.12,0.09,0.09,0.24,0.37,0.29,0.28,0.24,0.26,0.21,0.22,0.29,0.29,0.31,0.3,0.14,0.09,0,0.08,0.07,0.09,0,0
学10栋10312室电表,0.74,0.13,0.04,0.03,0.03,0.03,0.03,0.04,0.09,0.04,0.04,0.08,0.28,0,0.03,0.24,0.4,0.59,1.18,0,1.6,0,1.81,0.14,0.5,0.25,0.05,0.03,0.02,0.02,0,0
学10栋10313室电表,0.82,0.65,0.51,0.45,0.36,0.38,0.8,0,0.42,0.37,0.35,0.35,0.97,0,0.89,0,0.27,0.33,0.69,0,0.82,0,1.08,0.1,0.67,0.7,0.51,0.5,0.4,0.41,0,0
学10栋10315室电表,0.52,0.32,0.23,0.01,0.01,0,0.01,0.02,0.03,0.03,0.01,0,0.22,0,0.3,0,0.04,0.08,0.37,0,0.25,0,0.91,0.09,0.35,0.34,0.18,0.05,0.01,0.01,0,0
学10栋10316室电表,0.34,0.43,0.35,0.05,0,0.01,0.06,0,0.07,0.05,0,0.01,0.12,0,0.16,0,0.01,0.01,0.29,0,0.87,0,1.3,0,0.43,0.38,0.28,0.2,0,0.01,0,0
学10栋10318室电表,0.35,0.07,0.03,0.04,0.03,0.03,0.04,0,0.1,0.03,0.01,0.02,0.31,0,0.2,0,0.02,0.02,0.41,0,0.86,0,0.77,0,0.45,0.06,0.05,0.04,0.04,0.05,0,0
学10栋10321室电表,0.41,0.37,0.28,0.24,0.05,0.03,0.01,0.15,0.06,0.08,0.21,0.02,0.02,0.23,0.18,0.01,0.01,0.02,0.39,0,0.58,0,0.25,0.22,0.26,0.24,0.11,0.08,0.04,0.02,0,0
学10栋10327室电表,0.44,0.18,0.07,0.06,0.05,0.05,0.05,0.08,0.07,0.05,0.06,0.06,0.19,0.18,0.18,0,0.06,0.06,0.53,0,1.08,0,1.09,0,0.3,0.22,0.11,0.05,0.05,0.06,0,0
学10栋10328室电表,0.14,0.12,0.1,0.1,0.09,0.09,0.19,0,0.11,0.1,0.07,0.1,0.2,0,0.2,0,0.25,0.09,0.25,0,0.34,0,0.61,0,0.67,0.28,0.17,0.15,0.09,0.09,0,0
学10栋10332室电表,0.44,0.2,0.02,0.01,0.01,0.01,0.04,0,0.22,0.03,0.02,0.29,0.62,0,0.3,0,0.14,0.45,0.91,0,0.44,0,1.24,0,0.43,0.11,0.03,0.04,0.02,0.01,0,0
学10栋10333室电表,0.5,0.38,0.23,0.21,0.02,0.02,0.08,0,0.19,0.09,0.05,0.5,0.81,0,0.78,0,0.61,0.43,1.17,0,1.16,0,1.04,0,0.57,0.33,0.05,0.02,0.01,0.01,0,0
学10栋10337室电表,0.33,0.14,0.07,0.04,0.03,0.03,0.05,0.19,0.13,0.08,0.13,0.1,0.09,0.08,0.1,0.11,0.18,0.29,0.56,0.41,0.49,0.52,0.54,0.63,0.49,0.3,0,0.22,0.13,0.11,0,0
学10栋10401室电表,1.06,0.71,0.49,0.21,0.07,0.03,0.04,0.03,0.03,0.05,0.03,0.24,0.51,0.27,0.3,0.33,0.58,0.55,0.7,0.59,0.07,0.3,0.57,0.55,0.53,0.52,0.44,0.1,0.05,0.04,0,0
学10栋10402室电表,0.69,0.3,0.13,0.18,0.11,0.1,0.1,0.1,0.09,0.19,0.18,0.37,0.7,0.69,0.59,0.55,0.52,0.53,0.61,0.7,0.3,0.59,0.72,0.74,0.64,0.47,0.23,0.14,0.02,0.02,0,0
学10栋10403室电表,0.73,0.48,0.45,0.12,0.01,0.01,0.01,0.02,0.12,0.04,0.01,0.19,0.36,0.46,0.41,0.25,0.45,0.27,0.29,0.3,0.2,0.75,0.94,0.87,0.8,0.44,0.42,0.06,0.01,0.02,0,0
学10栋10405室电表,0.18,0.2,0.15,0.11,0.12,0.09,0.09,0.09,0.28,0.12,0.07,0.85,0.39,0.34,0.26,0.25,0.46,1.04,0.91,0.98,0.66,0.37,0.35,0.23,0.16,0.13,0.11,0.1,0.07,0.08,0,0
学10栋10406室电表,0.21,0.07,0.03,0.04,0.03,0.01,0.02,0.01,0.1,0.04,0.01,0.29,0.52,0.42,0.4,0.43,0.38,0.45,0.45,0.3,0.19,0.46,0.54,0.38,0.24,0.21,0.13,0.11,0.11,0.1,0,0
学10栋10408室电表,0.47,0.09,0.29,0.11,0.03,0.02,0.02,0.01,0.23,0.04,0.01,0.05,0.04,0.04,0.05,0.1,0.49,0.57,0.63,0.2,0.08,0.57,0.81,0.62,0.72,0.44,0.02,0.02,0.01,0.01,0,0
学10栋10409室电表,0.18,0.13,0.09,0.05,0.11,0.2,0.08,0.02,0.02,0.04,0.24,0.37,0.23,0.04,0.15,0.02,0.02,0.03,0.09,0.11,0.05,0.15,0.19,0.51,0.41,0.34,0.3,0.14,0.12,0.04,0,0
学10栋10413室电表,0.18,0.14,0.12,0.09,0.1,0.08,0.11,0.08,0,0.01,0.01,0.01,0.01,0.05,0.16,0.16,0.1,0.02,0.16,0.08,0.02,0.48,0.61,0.61,0.39,0.32,0.29,0.26,0.19,0.13,0,0
学10栋10418室电表,0.87,0.78,0.2,0.18,0.16,0.17,0.17,0.01,0.2,0.21,0.2,0.19,0.23,0.6,0.53,0.21,0.2,0.63,0.65,0.5,0.35,1.02,1,0.89,1.16,0.44,0.03,0.03,0.01,0.01,0,0
学10栋10419室电表,0.29,0.44,0.04,0.01,0.01,0.01,0.01,0.23,0.15,0.04,0,0.01,0.07,0.28,0.2,0.28,0.08,0.21,0.42,0.32,0.14,0.17,0.15,0.19,0.38,0.07,0.03,0.01,0.01,0.01,0,0
学10栋10420室电表,0.32,0.04,0.01,0.02,0.01,0.01,0.02,0.02,0.1,0.09,0.02,0.01,0.01,0.38,0.21,0.03,0.02,0.26,0.36,0.15,0.18,0.42,0.64,0.64,0.34,0.06,0.02,0.02,0.02,0.01,0,0
